Publication Day,Publication Month,Publication Year,Authors,Title,Source,Abstract
31,10,2016,"Shuanglong Lin, Miao Wang, Li Liu, Yinghua Liang, Wenquan Cui, Zisheng Zhang, Nan Yun",Enhanced Visible Light Photocatalytic Degradation of Organic Pollutants over Flower-Like Bi₂O₂CO₃ Dotted with Ag@AgBr.,"Materials (Basel, Switzerland)","A facile and feasible oil-in-water self-assembly approach was developed to synthesize flower-like Ag@AgBr/Bi₂O₂CO₃ micro-composites. The photocatalytic activities of the samples were evaluated through methylene blue degradation under visible light irradiation. Compared to Bi₂O₂CO₃, flower-like Ag@AgBr/Bi₂O₂CO₃ micro-composites show enhanced photocatalytic activities. In addition, results indicate that both the physicochemical properties and associated photocatalytic activities of Ag@AgBr/Bi₂O₂CO₃ composites are shown to be dependent on the loading quantity of Ag@AgBr. The highest photocatalytic performance was achieved at 7 wt % Ag@AgBr, degrading 95.18% methylene blue (MB) after 20 min of irradiation, which is over 1.52 and 3.56 times more efficient than that of pure Ag@AgBr and pure Bi₂O₂CO₃, respectively. Bisphenol A (BPA) was also degraded to further demonstrate the degradation ability of Ag@AgBr/Bi₂O₂CO₃. A photocatalytic mechanism for the degradation of organic compounds over Ag@AgBr/Bi₂O₂CO₃ was proposed. Results from this study illustrate an entirely new approach to fabricate semiconductor composites containing Ag@AgX/bismuth (X = a halogen)."
1,1,2017,"Nasim Mohammadnezhad, Amir Abbas Matin, Naser Samadi, Ashkan Shomali, Hassan Valizadeh",Ionic Liquid-Bonded Fused Silica as a New Solid-Phase Microextraction Fiber for the Liquid Chromatographic Determination of Bisphenol A as an Endocrine Disruptor.,Journal of AOAC International,"Linear ionic liquid bonded to fused silica and its application as a solid-phase microextraction fiber for the extraction of bisphenol A (BPA) from water samples were studied. After optimization of microextraction conditions (15 mL sample volume, extraction time of 40 min, extraction temperature of 30 ± 1°C, 300 μL acetonitrile as the desorption solvent, and desorption time of 7 min), the fiber was used to extract BPA from packed mineral water, followed by HPLC-UV on an XDB-C18 column (150 × 4.6 mm id, 3.5 μm particle) with a mobile phase of acetonitrile-water (45 + 55%, v/v) and flow rate of 1 mL . min-1). A low LOD (0.20 μg . L-1) and good linearity (0.9977) in the calibration graph indicated that the proposed method was suitable for the determination of BPA."
1,1,2017,"L Du, W Sun, X M Li, X Y Li, W Liu, D Chen",DNA methylation and copy number variation analyses of human embryonic stem cell-derived neuroprogenitors after low-dose decabromodiphenyl ether and/or bisphenol A exposure.,Human & experimental toxicology,"The polybrominated diphenyl ether flame retardants decabromodiphenyl ether (BDE-209) and bisphenol A (BPA) are environmental contaminants that can cross the placenta and exert toxicity in the developing fetal nervous system. Copy number variants (CNVs) play a role in a number of genetic disorders and may be implicated in BDE-209/BPA teratogenicity. In this study, we found that BDE-209 and/or BPA exposure decreased neural differentiation efficiency of human embryonic stem cells (hESCs), although there was a >90% induction of neuronal progenitor cells (NPCs) from exposed hESCs. However, the mean of CNV numbers in the NPCs with BDE-209 + BPA treatment was significantly higher compared to the other groups, whereas DNA methylation was lower and DNA methyltransferase(DNMT1 and DNMT3A) expression were significantly decreased in all of the BDE-209 and/or BPA treatment groups compared with the control groups. The number of CNVs in chromosomes 3, 4, 11, 22, and X in NPCs with BDE-209 and/or BPA exposure was higher compared to the control group. In addition, CNVs in chromosomes 7, 8, 14, and 16 were stable in hESCs and hESCs-derived NPCs irrespective of BDE-209/BPA exposure, and CNVs in chromosomes 20 q11.21 and 16 p13.11 might be induced by neural differentiation. Thus, BDE-209/BPA exposure emerges as a potential source of CNVs distinct from neural differentiation by itself. BDE-209 and/or BPA exposure may cause genomic instability in cultured stem cells via reduced activity of DNA methyltransferase, suggesting a new mechanism of human embryonic neurodevelopmental toxicity caused by this class of environmental toxins."
1,1,2017,"La-Or Chailurkit, Pechngam Tengpraettanakorn, Suwannee Chanprasertyotin, Boonsong Ongphiphadhanakul",Is bisphenol A exposure associated with the development of glucose intolerance and increased insulin resistance in Thais?,Nutrition and health,"Bisphenol A (BPA), the monomeric component of polycarbonate plastics, reportedly possesses endocrine-disrupting effects. Exposure to low levels of BPA during more vulnerable periods leads to abnormalities related to sexual development in experimental animals. Moreover, recently a few epidemiological studies in Caucasians have demonstrated the association of BPA exposure with type 2 diabetes. Therefore, in the present study we examined the association of BPA exposure and abnormal glucose tolerance in Thais. This is a cross-sectional study of 240 participants aged at least 50 years, randomly selected by computer-generated random numbers within each glucose tolerance status from an oral glucose tolerance study of 661 participants. There were 80 participants in each group of type 2 diabetes, impaired glucose tolerance (IGT) and normal glucose tolerance (NGT). Serum BPA was measured by competitive ELISA. The detection rate of BPA was significantly higher in participants with IGT compared to those with NGT ( p < 0.05), while no difference was found between participants with type 2 diabetes and NGT. When participants with type 2 diabetes were stratified into those with fasting plasma glucose (FPG) under the diabetic threshold (<126 mg/dL) and those over (≥126 mg/dL), it was found that those with FPG under the diabetic threshold had measurable rates of BPA comparable to those with IGT, and rates significantly higher than the NGT group ( p < 0.05), while those with FPG over the diabetic threshold did not have higher rates of measurable BPA compared with the NGT group. In conclusion, BPA exposure is not uncommon in Thais. There is an association between BPA exposure and IGT, but not type 2 diabetes."
3,1,2017,"Lan Ching Sim, Wei Han Tan, Kah Hon Leong, Mohammed J K Bashir, Pichiah Saravanan, Nur Atiqah Surib",Mechanistic Characteristics of Surface Modified Organic Semiconductor g-C₃N₄ Nanotubes Alloyed with Titania.,"Materials (Basel, Switzerland)","The visible-light-driven photocatalytic degradation of Bisphenol A (BPA) was investigated using the binary composite of alkaline treated g-C₃N₄ (HT-g-C₃N₄) deposited over commercial TiO₂ (Evonik Degussa GmbH, Essen, Germany). The existence and contribution of both TiO₂ and g-C₃N₄/HT-g-C₃N₄ in the composite was confirmed through various analytical techniques including powder X-ray diffraction (XRD), high-resolution transmission electron microscopy (HRTEM), field emission scanning electron microscopy (FESEM), Fourier transform infrared spectroscopy (FTIR), X-ray photoelectron spectroscopy (XPS), ultraviolet-visible diffuse reflectance spectra (UV-vis-DRS), and photoluminescence (PL) analysis. The results showed that the titania in the binary composite exhibited both pure rutile and anatase phases. The morphological analysis indicated that the spongy ""morel-like"" structure of g-C₃N₄ turned to nanotube form after alkaline hydrothermal treatment and thereby decreased the specific surface area of HT-g-C₃N₄. The low surface area of HT-g-C₃N₄ dominates its promising optical property and effective charge transfer, resulting in a deprived degradation efficiency of BPA two times lower than pure g-C₃N₄. The binary composite of HT-g-C₃N₄/TiO₂ exhibited excellent degradation efficiency of BPA with 2.16 times higher than the pure HT-g-C₃N₄. The enhanced photocatalytic activity was mainly due to the promising optical band gap structure with heterojunction interface, favorable specific surface area, and good charge separation."
1,5,2017,"Jennifer A Honeycutt, Jenny Q T Nguyen, Amanda C Kentner, Heather C Brenhouse",Effects of Water Bottle Materials and Filtration on Bisphenol A Content in Laboratory Animal Drinking Water.,Journal of the American Association for Laboratory Animal Science : JAALAS,"Bisphenol A (BPA) is widely used in the polycarbonate plastics and epoxy resins that are found in laboratory animal husbandry materials including cages and water bottles. Concerns about BPA exposure in humans has led to investigations that suggest physiologic health risks including disruptions to the endocrine system and CNS. However, the extent of exposure of laboratory animals to BPA in drinking water is unclear. In the first study, we compared the amount of BPA contamination in water stored in plastic bottles used in research settings with that in glass bottles. The amount of BPA that leached into water was measured across several time points ranging from 24 to 96 h by using a BPA ELISA assay. The results showed that considerable amounts of BPA (approximately 0.15 μg/L) leached from polycarbonate bottles within the first 24 h of storage. In the second study, BPA levels were measured directly from water taken from filtered compared with unfiltered taps. We observed significantly higher BPA levels in water from unfiltered taps (approximately 0.40 μg/L) compared with taps with filtration systems (approximately 0.04 μg/L). Taken together, our findings indicate that the use of different types of water bottles and water sources, combined with the use of different laboratory products (food, caging systems) between laboratories, likely contribute to decreased rigor and reproducibility in research. We suggest that researchers consider reporting the types of water bottles used and that animal care facilities educate staff regarding the importance of flushing nonfiltered water taps when filling animal water bottles."
17,5,2017,"Agostino Di Ciaula, Piero Portincasa",Diet and contaminants: driving the rise to obesity epidemics?,Current medicinal chemistry,"The obesity epidemic is spreading worldwide without reversal trend and despite specific policies oriented to dietary habits and lifestyle, which seem to have modest effects. Genetic factors only partly explain the rise, whereas environmental factors seem to play a key role, mainly by gene-environment interactions through epigenetic mechanisms. A number of animal and human studies point to maternal diet, intestinal microbiota and chemicals introduced as contaminants with food, all factors able to increase the risk of obesity. Widely diffused toxics (mainly BPA, phthalates, pesticides) are able to promote obesity in children and adults, mainly by acting on the differentiation pathway linking multipotent stromal stem cell to mature adipocyte, modulating epigenetic factors and influencing a series of mechanisms finally leading to altered dietary habits, increased adipocyte formation and fat storage. Furthermore, the adipose tissue is an important target for several chemicals (mainly POPs) which represent a threat to metabolic health. In conclusion, besides excessive individual energy intake and inadequate lifestyle, other broadly diffused and modifiable factors (mainly ingestion of toxic chemicals with food) seem to have a critical role in the rapid epidemiological growing of obesity, also considering trans-generational transmission of risk and later development of obesity due to exposure during early life. Further studies are needed, to better assess interactions between cumulative effects of toxic food contaminants and modification of diet and lifestyle, and to verify the efficacy of primary prevention strategies acting on all these factors and potentially able to reverse the continuous rising of the obesity epidemic."
19,5,2017,,Prenatal bisphenol a exposure and dysregulation of infant hypothalamic-pituitary-adrenal axis function: findings from the APrON cohort study.,Environmental health : a global access science source,"Animal models show that prenatal bisphenol A (BPA) exposure leads to sexually dimorphic disruption of the neuroendocrine system in offspring, including the hypothalamic-pituitary-adrenal (HPA) neuroendocrine system, but human data are lacking. In humans, prenatal BPA exposure is associated with sex-specific behavioural problems in children, and HPA axis dysregulation may be a biological mechanism. The objective of the current study was to examine sex differences in associations between prenatal maternal urinary BPA concentration and HPA axis function in 3 month old infants."
25,5,2017,"Y M Wong, R Li, C K F Lee, H T Wan, Chris K C Wong","The measurement of bisphenol A and its analogues, perfluorinated compounds in twenty species of freshwater and marine fishes, a time-trend comparison and human health based assessment.",Marine pollution bulletin,"Our previous study in 2011 reported the detection of BPA and PFAAs in 20 species of marine and freshwater fishes. With an emerging evidence to suggest the metabolic-disrupting effects of BPA/PFAAs in animals, the present study was aimed to provide a time-trend analysis to determine the current concentrations of PFAAs and BPA in 20 commercially available Hong Kong species of fishes. Since the manufacture and use of BPA is being prohibited in most nations, the introduction of BPA alternatives has recently been incorporated in the markets. Therefore, the concentrations of BPB, BPF and BPS were determined. In the present study, all freshwater and seawater fish samples showed quantified concentrations [>Limit of Quantification (LOQ<0.5ng/g)] of BPA. BPF was detected in some marine (yellow seafin, bigeye, goldspotted rabbitfish, snubnose pompano, tongue sole, Bleeker's grouper and orange-spotted grouper) and freshwater fishes (mud carp, crucian carp, tilapia, catfish, mandarin fish, grass carp, grey mullet and spotted snakehead). Two of the compounds, BPS and BPB could only be identified in the marine fishes (snubnose pompano, yellow seafin). In PFAA analysis, PFOA, PFDA, PFOS, PFUdA and PFDoA were found in most of the marine and freshwater fishes. PFOS and PFOA were shown to be the two predominant PFAAs in fishes. On the basis of the measured concentrations of bisphenols, BPs (BPA, BPB, BPF, BPS) and PFAAs, the average daily intake for BPs (20.5-31.5ng/kgb.w./day) and PFAAs (1.17-1.83ng/kgb.w./day) were calculated and found to be lower than values of tolerable daily intake (TDI) established in Europe. However, as compared with our previous study in 2011, the present study revealed an approximate 10-fold increase in the concentrations of BPA in the fish samples. Although the hazard ratio of consuming fishes for BPA and PFAA exposure is expected to remain low, possible additive metabolic-disrupting effect of BPA and its analogues as well PFAAs should be taken into consideration for human health risk assessment."
29,5,2017,"Marcin Kurzyna, Szymon Darocha, Radosław Pietura, Arkadiusz Pietrasik, Justyna Norwa, Rafał Mańczak, Maria Wieteska, Andrzej Biederman, Hiromi Matsubara, Adam Torbicki",Changing the strategy of balloon pulmonary angioplasty resulted in a reduced complication rate in patients with chronic thromboembolic pulmonary hypertension. A single-centre European experience.,Kardiologia polska,To assess the safety and efficacy of a refined balloon pulmonary angioplasty (BPA) strategy in patients with chronic thromboembolic pulmonary hypertension (CTEPH).
